"Category","URL","Name","Status","Expected","Redirect","TimeMs","ContentType"
"Admin-Path","https://nekotab.app/dc-2026/admin/availability/round/1/teams/","Team availability","301","200 or 302","https://dc-2026.nekotab.app/admin/availability/round/1/teams/","239","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/availability/round/1/venues/","Venue availability","301","200 or 302","https://dc-2026.nekotab.app/admin/availability/round/1/venues/","238","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/draw/round/1/","Admin draw for R1","301","200 or 302","https://dc-2026.nekotab.app/admin/draw/round/1/","237","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/draw/round/1/details/","Draw details","301","200 or 302","https://dc-2026.nekotab.app/admin/draw/round/1/details/","237","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/draw/round/1/position-balance/","Position balance","301","200 or 302","https://dc-2026.nekotab.app/admin/draw/round/1/position-balance/","238","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/draw/round/1/display/","Draw display","301","200 or 302","https://dc-2026.nekotab.app/admin/draw/round/1/display/","240","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/draw/round/current/display-by-venue/","Current draw by venue","301","200 or 302","https://dc-2026.nekotab.app/admin/draw/round/current/display-by-venue/","236","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/draw/round/current/display-by-team/","Current draw by team","301","200 or 302","https://dc-2026.nekotab.app/admin/draw/round/current/display-by-team/","239","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/draw/sides/","Side allocations","301","200 or 302","https://dc-2026.nekotab.app/admin/draw/sides/","236","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/results/round/1/","Admin results for R1","301","200 or 302","https://dc-2026.nekotab.app/admin/results/round/1/","234","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/motions/round/1/edit/","Edit motions R1","301","200 or 302","https://dc-2026.nekotab.app/admin/motions/round/1/edit/","237","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/motions/round/1/display/","Display motions R1","301","200 or 302","https://dc-2026.nekotab.app/admin/motions/round/1/display/","238","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/motions/statistics/","Motion stats","301","200 or 302","https://dc-2026.nekotab.app/admin/motions/statistics/","238","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/feedback/","Feedback overview","301","200 or 302","https://dc-2026.nekotab.app/admin/feedback/","234","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/feedback/progress/","Feedback progress","301","200 or 302","https://dc-2026.nekotab.app/admin/feedback/progress/","235","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/feedback/latest/","Latest feedback","301","200 or 302","https://dc-2026.nekotab.app/admin/feedback/latest/","237","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/feedback/important/","Important feedback","404","200 or 302",,"501","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/feedback/comments/","Feedback comments","301","200 or 302","https://dc-2026.nekotab.app/admin/feedback/comments/","235","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/feedback/source/list/","By source","301","200 or 302","https://dc-2026.nekotab.app/admin/feedback/source/list/","237","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/feedback/target/list/","By target","301","200 or 302","https://dc-2026.nekotab.app/admin/feedback/target/list/","249","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/feedback/add/","Add feedback index","301","200 or 302","https://dc-2026.nekotab.app/admin/feedback/add/","238","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/standings/round/1/","Admin standings R1","301","200 or 302","https://dc-2026.nekotab.app/admin/standings/round/1/","237","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/standings/round/1/team/","Team standings R1","301","200 or 302","https://dc-2026.nekotab.app/admin/standings/round/1/team/","238","text/html; charset=utf-8"
